名字                            HP    ATK    DEF  M R    范围    间隔 类型   来源    特性
群集之瘴                       10000    750    200   30   0.9   2.0 物理   Wiki  如果这种化物会说话，它们的口号也许是“大地给予我力量！”吧。
并驾骑士                       70000   1500   1000   30   0.8   2.0 物理   推断    横扫5列; 蓄力锤300%; 队友死+80%攻击
侠客三人行                      38000    700    300   35   0.8   2.0 物理   推断    全队减伤至60%;治疗最低血量队友
“萨米的意志”                   100000    800    800   40   0.8   2.0 物理   推断    有它出场的比赛观众总能坚持观看到最后一局，因为离场通道被它堵住了。
岁相                        130000   1200    550   30   3.5   3.3 物理   Wiki  巨型;双目标;远山惊雷AOE;天坠;十方吐纳龙息
普通的萨卡兹                      3750    900    230   50   0.8   2.0 物理   推断    
源石的腿脚                       5500    975    200   30   0.8   2.0 物理   推断    每秒恢复250生命值
“火苗与软钢”                     9000    720    230   50   0.8   2.3 物理   推断    半血后攻击2016
锁链拳手                        4000    450    300    0   0.8   2.0 物理   Wiki  双形态:禁锢/解放
衣架射手                        3500    300      0    0   3.2   2.0 物理   Wiki  无
劈柴骑士                        6500    975    800    0   0.8   2.0 物理   Wiki  友方死亡+10%攻+5攻速,上限10层
奔跑吧！躯壳！                     8000    400      0    0   0.8   2.0 物理   Wiki  无
硕鼷                          2200    340      0    0   0.8   2.0 物理   Wiki  无
超级洗地机                      25000    800   1200   20   0.8   2.0 物理   Wiki  无
依然“狼之主”                    50000   1500    300   30   0.8   2.0 物理   推断    二阶段重生;溶血骇惧;二连击
蟹蟹爷爷                        8500   1950   2500   90   0.8   2.0 物理   推断    无
标枪恐鱼                        4000    400      0    0   1.0   2.0 物理   Wiki  无
食腐野兽                        5000     10      0    0   0.8   2.0 物理   Wiki  无
调停的意志                      30000    800      0    0   0.8   2.0 物理   Wiki  无
“食器时代”                      3000    800   3000    0   0.8   2.0 物理   推断    嘲讽+1;优先高仇恨
速胜卫士                        8000   1000   2500    0   0.8   2.0 物理   Wiki  受击-50防/-2法抗,80层
“交通亭”量产型                   12000    800   2500   70   0.8   2.0 物理   推断    受击-50防/-1法抗;死爆200%+弹出卫士
圣徒卡门                       30000   1000      0    0   0.8   2.0 物理   Wiki  领袖
